so_number,order_date,customer_code,total_quantity,total_amount,total_amount_pdf,message_id,raw_customer_name,raw_tax_id,raw_address,customer_mapping_confidence,customer_mapping_method,customer_review_required,has_warning
BH26.0945,2026-03-01,KH-00168,21,29681658,,<177639809700.27.12946299709363366021@dailoi.vn>,DOANH NGHIỆP TW ĐẠI LỢI,144863555,"Liền Kề 373, NO11, khu Cổng Đồng, tổ dân phố số 4, đường Tố Hữu, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",100.0,TAX_ID_EXACT,False,False
BH26.0946,2026-03-01,KH-00544,19,28994902,,<177639809701.27.1317143838265288107@vietanh.vn>,DOANH NGHIỆP TW VIỆT ANH,240687273,"tổ 3, Phường Kiến Hưng, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0947,2026-03-01,KH-00459,12,16282679,,<177639809696.27.801519116549617023@toanthang.vn>,CÔNG TY CỔ PHẦN TOÀN THẮNG,267718135,"Xã Bình Minh, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0948,2026-03-01,KH-00459,3,4530554,,<177639809696.27.2302636251494628997@toanthang.vn>,CÔNG TY CỔ PHẦN TOÀN THẮNG,267718135,"Xã Bình Minh, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0949,2026-03-01,KH-00386,25,38923878,,<177639809695.27.7008421793132065041@khaihoan.vn>,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,113978498,"Thụy Sơn 2, Phường Tân Sơn, Thị Xã Kim Bảng, Tỉnh Hà Nam, Việt Nam",100.0,TAX_ID_EXACT,False,False
BH26.0950,2026-03-01,KH-00027,36,58179996,,<177639809694.27.14083980817542670947@daiduong.vn>,HỘ KINH DOANH ĐẠI DƯƠNG,221608347,"Đường Núi Vàng, Tổ 9, Phường Trung Sơn, Ninh Bình",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.0951,2026-03-01,KH-00629,16,23419344,,<177639809694.27.5125821543982213238@dongnam.vn>,CÔNG TY TNHH ĐÔNG NAM,214016268,"Xã Lý Nhân, Ninh Bình",100.0,TAX_ID_EXACT,False,False
BH26.0952,2026-03-01,KH-00628,36,61174432,,<177639809694.27.2945194472877206461@phuthinh.vn>,CỬA HÀNG XE ĐẠP PHÚ THỊNH,224507573,"Xã Quỳnh Lưu, Xã Quỳnh Lưu, Tỉnh Ninh Bình",100.0,TAX_ID_EXACT,False,False
BH26.0953,2026-03-01,KH-00463,27,46378881,,<177639809693.27.16035760590688802187@yenbinh.vn>,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,150900540,"Xã Thuận An, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0954,2026-03-01,KH-00476,50,81172199,,<177639809693.27.8286444275301796832@mattroi.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,163174528,"Xã Nam Tiền Hải, Hưng Yên",100.0,TAX_ID_EXACT,False,False
BH26.0955,2026-03-01,KH-00217,81,133489977,,<177639809690.27.12937162279754847113@daiduong.vn>,DOANH NGHIỆP TW ĐẠI DƯƠNG,272364761,"Lý Bôn, Phường Đề Thám, thành phố Thái Bình, tỉnh Thái Bình",100.0,TAX_ID_EXACT,False,False
BH26.0956,2026-03-01,KH-00571,40,50374975,,<177639809695.27.6344863178936378387@thuytien.vn>,CỬA HÀNG XE ĐẠP THUỶ TIÊN,273679758,"đường chiến thắng Sông Lô, tổ 2, Phường Minh Xuân, Tuyên Quang",100.0,TAX_ID_EXACT,False,False
BH26.0957,2026-03-01,KH-00659,84,152961998,,<177639809690.27.10353144037217341363@quangvinh.vn>,CỬA HÀNG XE ĐẠP QUANG VINH,232799936,"Xã Hợp Lý, Phú Thọ",100.0,TAX_ID_EXACT,False,False
BH26.0958,2026-03-01,KH-00583,11,17660921,,<177639809689.27.4291835990902352011@thanhbinh.vn>,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,135037784,"Ngô Quyền, Phường An Hải, Thành phố Đà Nẵng",100.0,TAX_ID_EXACT,False,False
BH26.0959,2026-03-01,KH-00420,14,22992220,,<177639809689.27.586287033698423193@quangvinh.vn>,CÔNG TY CỔ PHẦN QUANG VINH,161267125,"Trần Kế Xương, Phường Hải Châu, Thành phố Đà Nẵng",100.0,TAX_ID_EXACT,False,False
BH26.0960,2026-03-01,KH-00506,68,120369229,,<177639809689.27.10060236952204337488@thanhbinh.vn>,CÔNG TY TNHH THANH BÌNH,293390264,"phố Nguyễn Thái Học, Xã Đan Phượng, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0961,2026-03-01,KH-00598,17,28867213,,<177639809688.27.1890702223848595625@sonha.vn>,DOANH NGHIỆP TW SƠN HÀ,279652439,"Phao Sơn, Phường Chí Linh, Thành phố Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.0962,2026-03-01,KH-00446,31,35169800,,<177639809688.27.4517457392071889495@minhphuong.vn>,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,125873321,"Hùng Vương, Phường Nam Đông Hà, Quảng Trị",100.0,TAX_ID_EXACT,False,False
BH26.0963,2026-03-02,KH-00676,20,27983324,,<177639809709.27.12552662823614133900@vanloi.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI VẠN LỢI,158110427,"đường Điện Biên, tổ dân phố số 8 phường Minh Tân, thành phố Yên Bái, tỉnh Yên Bái, Việt Nam",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.0964,2026-03-02,KH-00402,13,17831660,,<177639809709.27.7097704095687072272@dailoi.vn>,CÔNG TY CỔ PHẦN ĐẠI LỢI,100950622,"Ngô Gia Tự, Phường Việt Hưng, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0965,2026-03-02,KH-00402,30,57729430,,<177639809710.27.8633996433839738777@dailoi.vn>,CÔNG TY CỔ PHẦN ĐẠI LỢI,100950622,"Ngô Gia Tự, Phường Việt Hưng, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0966,2026-03-02,KH-00564,21,33339436,,<177639809713.27.5414121733845069545@sanlap.vn>,CỬA HÀNG XE ĐẠP SÁN LẠP,237058486,"Xã Quang Lịch, Huyện Kiến Xương, Thái Bình",100.0,TAX_ID_EXACT,False,False
BH26.0967,2026-03-02,KH-00668,15,23813885,,<177639809711.27.12549013897651186576@anphat.vn>,CỬA HÀNG XE ĐẠP AN PHÁT,204212624,"Xã Tiên Lãng, Thành phố Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.0968,2026-03-02,KH-00568,31,47381097,,<177639809711.27.16321466152587137559@ngocanh.vn>,DOANH NGHIỆP TW NGỌC ANH,147661615,"Tô Hiệu, Phường Lê Chân, TP Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.0969,2026-03-02,KH-00612,27,55472213,,<177639809713.27.14178144042647201736@xaydung.vn>,DOANH NGHIỆP TW XÂY DỰNG,255039901,"Phường Bạch Đằng, TP Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.0970,2026-03-02,KH-00149,40,65616098,,<177639809708.27.13941720072365397720@tuanh.vn>,CỬA HÀNG XE ĐẠP TÚ ANH,249644643,"Thôn Tiên Tảo, Xã Hà Nam, TP Hải Phòng",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.0971,2026-03-02,KH-00660,26,55949155,,<177639809713.27.59865493798337699@toanthang.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,194183069,"Thôn La Văn Cầu, Xã Nam Sách, TP Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.0972,2026-03-02,KH-00363,96,162773288,,<177639809714.27.13275765128541234669@dailoi.vn>,HỘ KINH DOANH ĐẠI LỢI,177914308,"Đường Trần Hưng Đạo, Phường Kinh Môn, Thành phố Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.0973,2026-03-02,KH-00663,15,24571661,,<177639809714.27.14055721717480188255@truongthinh.vn>,CÔNG TY CỔ PHẦN TRƯỜNG THỊNH,298813347,"Tổ dân phố Hòa Sơn, Phường Chương Mỹ, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0974,2026-03-02,KH-00447,15,20501658,,<177639809715.27.1962933219357751919@khaihoan.vn>,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,191136065,"Phường Chương Mỹ, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0975,2026-03-02,KH-00693,30,43154426,,<177639809715.27.15526059072672948392@xaydung.vn>,CỬA HÀNG XE ĐẠP XÂY DỰNG,298726858,"Xã Hòa Phú, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0976,2026-03-02,KH-00503,33,39984977,,<177639809715.27.3669262207937771719@phuthinh.vn>,DOANH NGHIỆP TW PHÚ THỊNH,170794199,"Phố Vồi, Xã Thường Tín, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0977,2026-03-02,KH-00348,19,32844993,,<177639809716.27.2980053737230559329@yenbinh.vn>,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,198501882,"Tiểu khu 3 - Thị trấn Hà trung, Xã Hà Trung, Tỉnh Thanh Hóa",100.0,TAX_ID_EXACT,False,False
BH26.0978,2026-03-02,KH-00652,21,39536106,,<177639809709.27.2819424749284882229@xuanmai.vn>,DOANH NGHIỆP TW XUÂN MAI,267491139,"Đường Quốc lộ 45, Khu phố 2, Xã Thiệu Hóa, Tỉnh Thanh Hóa",100.0,TAX_ID_EXACT,False,False
BH26.0979,2026-03-02,KH-00409,29,46916106,,<177639809710.27.10205216524262217657@binhminh.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI BÌNH MINH,102927878,"Thôn 4B, Xã Thọ Phú, Huyện Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",100.0,TAX_ID_EXACT,False,False
BH26.0980,2026-03-02,KH-00501,23,37641104,,<177639809708.27.2551770246706798576@vinhphat.vn>,CÔNG TY CỔ PHẦN VĨNH PHÁT,186437422,"Tố Hữu, TDP Trung Phong, Xã Lưu Vệ, Tỉnh Thanh Hóa",100.0,TAX_ID_EXACT,False,False
BH26.0981,2026-03-02,KH-00408,19,51833141,,<177639809707.27.7903209073802702201@minhphuong.vn>,CÔNG TY CỔ PHẦN MINH PHƯƠNG,189600214,"Đường ĐH-HH.25, Thôn 1, Xã Hoằng Thành, tỉnh Thanh Hóa",100.0,TAX_ID_EXACT,False,False
BH26.0982,2026-03-02,KH-00147,19,25553510,,<177639809704.27.15159582174570800377@phuthinh.vn>,CÔNG TY TNHH PHÚ THỊNH,221785427,"Quang Trung, phường Phú La, quận Hà Đông, Thành phố Hà Nội, Việt Nam",100.0,TAX_ID_EXACT,False,False
BH26.0983,2026-03-02,KH-00027,27,52777208,,<177639809702.27.8527195849335553775@daiduong.vn>,HỘ KINH DOANH ĐẠI DƯƠNG,213776915,"khu đấu giá Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0984,2026-03-02,KH-00477,29,44683879,,<177639809703.27.17070454183419799270@dailoi.vn>,CỬA HÀNG XE ĐẠP ĐẠI LỢI,206875995,"Phường Hà Đông, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0985,2026-03-02,KH-00564,33,51266091,,<177639809703.27.4051184843001971257@sanlap.vn>,CỬA HÀNG XE ĐẠP SÁN LẠP,237058486,"Xã Quang Lịch, Huyện Kiến Xương, Thái Bình",100.0,TAX_ID_EXACT,False,False
BH26.0986,2026-03-02,KH-00288,23,46599988,,<177639809704.27.14172883882709689509@toanthang.vn>,CÔNG TY TNHH THƯƠNG MẠI TOÀN THẮNG,145372018,"Khối Bắc Mỹ, phường Quỳnh Thiện, thị xã Hoàng Mai, tỉnh Nghệ An",100.0,TAX_ID_EXACT,False,False
BH26.0987,2026-03-02,KH-00088,55,88843310,,<177639809701.27.9853141541719096833@sanlap.vn>,CỬA HÀNG XE ĐẠP SÁN LẠP,234800323,"Khối 5 Thị Trấn Cầu Giát , Huyện Quỳnh Lưu , Tỉnh Nghệ An",100.0,TAX_ID_EXACT,False,False
BH26.0988,2026-03-02,KH-00366,68,109086270,,<177639809704.27.7400184238106052604@thienan.vn>,HỘ KINH DOANH THIÊN AN,259901723,"Xã Diễn Trường, Huyện Diễn Châu, Nghệ An",100.0,TAX_ID_EXACT,False,False
BH26.0989,2026-03-02,KH-00359,17,25416660,,<177639809707.27.6677655823134432407@vanloi.vn>,CÔNG TY CỔ PHẦN VẠN LỢI,203193677,"Thửa đất số 223-1 , Tờ bản đồ số 07, Đường 422, Thôn Lũng Kênh, Xã Hoài Đức, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0990,2026-03-02,KH-00440,16,24928881,,<177639809705.27.13243180843756265710@dongnam.vn>,CÔNG TY TNHH THƯƠNG MẠI ĐÔNG NAM,117737983,"đường Tây Tựu, Phường Thượng Cát, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0991,2026-03-02,KH-00485,15,20183514,,<177639809706.27.9209191298904019989@sanlap.vn>,CÔNG TY CỔ PHẦN SÁN LẠP,188289521,"Thôn Mùi, Xã Bình Minh, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0992,2026-03-02,KH-00384,24,37900552,,<177639809706.27.11858523945066023525@phucan.vn>,CỬA HÀNG XE ĐẠP PHÚC AN,273587333,"Khu dân cư Thái Học 1, Phường Chu Văn An, TP Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.0993,2026-03-02,KH-00385,17,33829435,,<177639809706.27.2575724861012783070@thienan.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,149646321,"Lê Thanh Nghị, Phường Lê Thanh Nghị, Thành phố Hải Dương, Hải Dương",100.0,TAX_ID_EXACT,False,False
BH26.0994,2026-03-02,KH-00615,12,16123882,,<177639809705.27.16844388258623453356@quangvinh.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,139299647,"Thị tứ Đồng Gia, Xã Kim Thành, Thành phố Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.0995,2026-03-02,KH-00563,30,53903874,,<177639809707.27.9942376124693992059@yenbinh.vn>,HỘ KINH DOANH YÊN BÌNH,236481534,"đường Phạm Văn Đồng, Phường Đông Ngạc, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0996,2026-03-03,KH-00091,518,537630000,,<177639809724.27.4573051503924355479@binhminh.vn>,CÔNG TY TNHH BÌNH MINH,202478042,"Ngõ 68/53/22 Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, TP Hà Nội, Việt Nam",100.0,TAX_ID_EXACT,False,False
BH26.0997,2026-03-03,KH-00338,83,141959408,,<177639809723.27.13932183773720301307@dailoi.vn>,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,105330405,"đường Vạn Xuân, Thôn Cựu Quán, Xã Hoài Đức, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0998,2026-03-03,KH-00605,38,49055535,,<177639809723.27.13151587223000228575@vinhphat.vn>,CÔNG TY CỔ PHẦN VĨNH PHÁT,144322845,"Tổ dân phố Lê Duẩn, Phường Kiến An, TP Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.0999,2026-03-03,KH-00605,18,22942211,,<177639809723.27.12390437464425241534@vinhphat.vn>,CÔNG TY CỔ PHẦN VĨNH PHÁT,144322845,"Tổ dân phố Lê Duẩn, Phường Kiến An, TP Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.1000,2026-03-03,KH-00605,26,34905540,,<177639809724.27.16594950762504082337@vinhphat.vn>,CÔNG TY CỔ PHẦN VĨNH PHÁT,144322845,"Tổ dân phố Lê Duẩn, Phường Kiến An, TP Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.1001,2026-03-03,KH-00508,63,91456638,,<177639809727.27.1243316505448017364@vinhphat.vn>,CÔNG TY CỔ PHẦN VĨNH PHÁT,232320227,"Xã Hà Đông, TP Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.1002,2026-03-03,KH-00004,38,46714973,,<177639809725.27.388013639099795099@khaihoan.vn>,DOANH NGHIỆP TW KHẢI HOÀN,198061367,"Phường An Dương, TP Hải Phòng",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.1003,2026-03-03,KH-00545,14,20951105,,<177639809726.27.10854804241263414419@anphat.vn>,CÔNG TY CỔ PHẦN AN PHÁT,136695790,"Tại nhà số 461, tổ 15, Phường Hòa Bình, Phú Thọ",100.0,TAX_ID_EXACT,False,False
BH26.1004,2026-03-03,KH-00402,43,72120535,,<177639809726.27.13057360759567981142@dailoi.vn>,CÔNG TY CỔ PHẦN ĐẠI LỢI,100950622,"Ngô Gia Tự, Phường Việt Hưng, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.1005,2026-03-03,KH-00386,37,64660726,,<177639809721.27.17789355694006387871@khaihoan.vn>,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,113978498,"Thụy Sơn 2, Phường Tân Sơn, Thị Xã Kim Bảng, Tỉnh Hà Nam, Việt Nam",100.0,TAX_ID_EXACT,False,False
BH26.1006,2026-03-03,KH-00521,16,25081660,,<177639809720.27.9733863205026578499@khaihoan.vn>,CỬA HÀNG XE ĐẠP KHẢI HOÀN,291633835,"Xã Bình Lục, Tỉnh Ninh Bình",100.0,TAX_ID_EXACT,False,False
BH26.1007,2026-03-03,KH-00024,31,55513875,,<177639809720.27.17466275249064254238@minhphuong.vn>,CÔNG TY TNHH MINH PHƯƠNG,223572625,"Phố Mỹ Lộ, Thị trấn Thiên Tôn, Huyện Hoa Lư, Tỉnh Ninh Bình, Việt Nam",100.0,TAX_ID_EXACT,False,False
BH26.1008,2026-03-03,KH-00166,10,15721109,,<177639809719.27.13501312085701517929@quangvinh.vn>,HỘ KINH DOANH QUANG VINH,150403563,"phố 3, Xã Yên Khánh, Tỉnh Ninh Bình",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.1009,2026-03-03,KH-00219,35,59161097,,<177639809716.27.17015905361960636559@phuthinh.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI PHÚ THỊNH,123994267,"phố 9 Phường Vân Giang, TP. Ninh Bình, Tỉnh Ninh Bình",100.0,TAX_ID_EXACT,False,False
BH26.1010,2026-03-03,KH-00565,93,140214967,,<177639809717.27.11048577505222294225@khaihoan.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI KHẢI HOÀN,111558627,"Xã Kiến Hải, Thành phố Hải Phòng",100.0,TAX_ID_EXACT,False,False
BH26.1011,2026-03-03,KH-00360,21,32312770,,<177639809717.27.2063595287456017794@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,168932615,"QL 45,Phố Kiểu, Xã Yên Trường, Tỉnh Thanh Hóa",100.0,TAX_ID_EXACT,False,False
BH26.1012,2026-03-03,KH-00639,31,47703876,,<177639809717.27.18175971244446575280@truongthinh.vn>,CÔNG TY CỔ PHẦN TRƯỜNG THỊNH,247789308,"Quốc lộ 45, Thôn Tân Ngữ 2, Xã Yên Định, Tỉnh Thanh Hóa",100.0,TAX_ID_EXACT,False,False
BH26.1013,2026-03-03,KH-00380,36,54776091,,<177639809720.27.2319872024959105460@hungcuong.vn>,DOANH NGHIỆP TW HÙNG CƯỜNG,177437743,Tỉnh Ninh Bình,100.0,TAX_ID_EXACT,False,False
BH26.1014,2026-03-03,KH-00383,35,62442770,,<177639809718.27.10465888220884581560@vanloi.vn>,HỘ KINH DOANH VẠN LỢI,259593644,"Thị Trấn Gôi, Xã Vụ Bản, Ninh Bình",100.0,TAX_ID_EXACT,False,False
BH26.1015,2026-03-03,KH-00702,40,63468317,,<177639809718.27.4417115578808483583@yenbinh.vn>,CỬA HÀNG XE ĐẠP YÊN BÌNH,255953146,"Xã Xuân Trường, Ninh Bình",100.0,TAX_ID_EXACT,False,False
BH26.1016,2026-03-03,KH-00379,50,76527750,,<177639809719.27.18040629558683101512@minhphuong.vn>,CÔNG TY TNHH MINH PHƯƠNG,299229713,"Tân Sơn 9, Xã Phú Bình, Tỉnh Thái Nguyên",100.0,TAX_ID_EXACT,False,False
BH26.1017,2026-03-04,KH-00023,1,2120370,,<177639809733.27.3384756894773047137@thanhbinh.vn>,CÔNG TY TNHH THANH BÌNH,235384734,"An Dương Vương, Phường Phú Thượng, TP Hà Nội",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.1018,2026-03-04,KH-00305,3,10250000,,<177639809734.27.16131418598117953727@taybac.vn>,CÔNG TY CỔ PHẦN TÂY BẮC,263969915,"Lý Tự Trọng, Xã Liên Hương, Lâm Đồng",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.1019,2026-03-04,KH-00617,10,16944444,,<177639809735.27.9972087237154765269@dailoi.vn>,CÔNG TY CỔ PHẦN ĐẠI LỢI,147277498,"đường Nguyễn Văn Linh, Phường Phúc Lợi, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.1020,2026-03-04,KH-00543,14,22852402,,<177639809734.27.14905379553914455092@sonha.vn>,CÔNG TY CỔ PHẦN SƠN HÀ,241076147,"đường Cầu Diễn, Phường Xuân Phương, Thành phố Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.1021,2026-03-04,KH-00435,12,20186106,,<177639809734.27.1806097268602969763@ngocanh.vn>,DOANH NGHIỆP TW NGỌC ANH,141517724,"TDP Chợ, đường Đại Mỗ, Phường Tây Mỗ, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.1022,2026-03-04,KH-00414,25,41136099,,<177639809736.27.16647132660781192069@dailoi.vn>,HỘ KINH DOANH ĐẠI LỢI,105325305,"Nhà số 7, đường Tam Đạc 2, cụm 7, xã Liên Minh, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.1023,2026-03-04,KH-00147,32,42805538,,<177639809735.27.1720394539494024067@phuthinh.vn>,CÔNG TY TNHH PHÚ THỊNH,221785427,"Quang Trung, phường Phú La, quận Hà Đông, Thành phố Hà Nội, Việt Nam",100.0,TAX_ID_EXACT,False,False
BH26.1024,2026-03-04,KH-00697,69,110203871,,<177639809736.27.4360431947084996517@truongthinh.vn>,CÔNG TY TNHH THƯƠNG MẠI TRƯỜNG THỊNH,144386888,"Thôn Quán Rẽ, Xã An Khánh, Thành phố Hải Phòng",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.1025,2026-03-04,KH-00385,120,263416625,,<177639809736.27.8879495645595105815@thienan.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,149646321,"Lê Thanh Nghị, Phường Lê Thanh Nghị, Thành phố Hải Dương, Hải Dương",100.0,TAX_ID_EXACT,False,False
BH26.1026,2026-03-04,KH-00409,10,17951665,,<177639809732.27.2015657872592376414@binhminh.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI BÌNH MINH,100519428,"C17, Phường Mường Thanh, Tỉnh Điện Biên",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.1027,2026-03-04,KH-00547,10,17132774,,<177639809733.27.9892726009100339183@thanhbinh.vn>,DOANH NGHIỆP TW THANH BÌNH,114803989,"Xã Mộ Đức, Quảng Ngãi",100.0,TAX_ID_EXACT,False,False
BH26.1028,2026-03-04,KH-00580,12,19544067,,<177639809731.27.11919912492747341904@longphu.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI LONG PHÚ,169985646,"Mẹ Thứ, Phường Hòa Xuân, Thành phố Đà Nẵng",100.0,TAX_ID_EXACT,False,False
BH26.1029,2026-03-04,KH-00445,17,28158325,,<177639809727.27.6095329886943121601@tantien.vn>,CÔNG TY CỔ PHẦN TÂN TIẾN,145783397,"Thạch Trụ Tây, Xã Lân Phong, Tỉnh Quảng Ngãi",100.0,TAX_ID_EXACT,False,False
BH26.1030,2026-03-04,KH-00046,66,108545534,,<177639809731.27.13433169699312644154@mattroi.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,166574876,"Mẹ Suốt, Phường Hải Đình, Thành phố Đồng Hới, Tỉnh Quảng Bình",100.0,TAX_ID_EXACT,False,False
BH26.1031,2026-03-04,KH-00486,25,38294430,,<177639809730.27.999281963395495706@vanloi.vn>,CÔNG TY TNHH VẠN LỢI,252868808,"Xã Yên Phong, Bắc Ninh",100.0,TAX_ID_EXACT,False,False
