message_id,file_name,from_address,subject,received_at,attachment_name,email_so_number,pdf_so_number,email_order_date,pdf_order_date,email_customer_name,pdf_customer_name,email_tax_id,pdf_tax_id,email_address,pdf_address,email_phone,email_total_quantity,pdf_total_quantity,email_total_amount,pdf_total_amount
<177639809696.27.2302636251494628997@toanthang.vn>,BH26_0948.eml,CÔNG TY CỔ PHẦN TOÀN THẮNG <dathang@toanthang.vn>,Purchase Order BH26.0948,2026-03-01 07:29:23+07:00,BH26_0948.pdf,BH26.0948,BH26.0948,2026-03-01,2026-03-01,CÔNG TY CỔ PHẦN TOÀN THẮNG,CÔNG TY Cn PHnN TOÀN THnNG,267718135,267718135,"Xã Bình Minh, Thành phố Hà Nội","Xã Bình Minh, Thành phn Hà Nni",0975860117,3,3,4530554,4530554
<177639809695.27.7008421793132065041@khaihoan.vn>,BH26_0949.eml,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN <dathang@khaihoan.vn>,Đơn đặt hàng BH26.0949 ngày 01/03/2026,2026-03-01 13:24:52+07:00,BH26_0949.pdf,BH26.0949,BH26.0949,2026-03-01,2026-03-01,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,CÔNG TY TNHH THnnNG MnI KHnI HOÀN,113978498,113978498,"Thụy Sơn 2, Phường Tân Sơn, Thị Xã Kim Bảng, Tỉnh Hà Nam, Việt Nam","Thny Snn 2, Phnnng Tân Snn, Thn Xã Kim Bnng, Tnnh Hà Nam, Vint Nam",0862456358,25,25,38923878,38923878
<177639809694.27.14083980817542670947@daiduong.vn>,BH26_0950.eml,HỘ KINH DOANH ĐẠI DƯƠNG <dathang@daiduong.vn>,Đặt hàng xe đạp Thống Nhất - BH26.0950,2026-03-01 09:30:59+07:00,BH26_0950.pdf,BH26.0950,BH26.0950,2026-03-01,2026-03-01,HỘ KINH DOANH ĐẠI DƯƠNG,Hn KINH DOANH nnI DnnNG,221608347,221608347,"Đường Núi Vàng, Tổ 9, Phường Trung Sơn, Ninh Bình","nnnng Núi Vàng, Tn 9, Phnnng Trung Snn, Ninh Bình",0375034178,36,36,58179996,58179996
<177639809694.27.5125821543982213238@dongnam.vn>,BH26_0951.eml,CÔNG TY TNHH ĐÔNG NAM <dathang@dongnam.vn>,Yêu cầu cung cấp hàng - BH26.0951,2026-03-01 13:28:02+07:00,BH26_0951.pdf,BH26.0951,BH26.0951,2026-03-01,2026-03-01,CÔNG TY TNHH ĐÔNG NAM,CÔNG TY TNHH nÔNG NAM,214016268,214016268,"Xã Lý Nhân, Ninh Bình","Xã Lý Nhân, Ninh Bình",0870495531,16,16,23419344,23419344
<177639809694.27.2945194472877206461@phuthinh.vn>,BH26_0952.eml,CỬA HÀNG XE ĐẠP PHÚ THỊNH <dathang@phuthinh.vn>,Đơn đặt hàng BH26.0952 ngày 01/03/2026,2026-03-01 12:51:42+07:00,BH26_0952.pdf,BH26.0952,BH26.0952,2026-03-01,2026-03-01,CỬA HÀNG XE ĐẠP PHÚ THỊNH,CnA HÀNG XE nnP PHÚ THnNH,224507573,224507573,"Xã Quỳnh Lưu, Xã Quỳnh Lưu, Tỉnh Ninh Bình","Xã Qunnh Lnu, Xã Qunnh Lnu, Tnnh Ninh Bình",0712923537,36,36,61174432,61174432
<177639809693.27.16035760590688802187@yenbinh.vn>,BH26_0953.eml,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH <dathang@yenbinh.vn>,[ĐẶT HÀNG] BH26.0953,2026-03-01 09:29:16+07:00,BH26_0953.pdf,BH26.0953,BH26.0953,2026-03-01,2026-03-01,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,CÔNG TY TNHH THnnNG MnI YÊN BÌNH,150900540,150900540,"Xã Thuận An, Thành phố Hà Nội","Xã Thunn An, Thành phn Hà Nni",0374657574,27,27,46378881,46378881
<177639809693.27.8286444275301796832@mattroi.vn>,BH26_0954.eml,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI <dathang@mattroi.vn>,[ĐẶT HÀNG] BH26.0954,2026-03-01 11:48:46+07:00,BH26_0954.pdf,BH26.0954,BH26.0954,2026-03-01,2026-03-01,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,"CÔNG TY Cn PHnN THnnNG MnI MnT
TRnI",163174528,163174528,"Xã Nam Tiền Hải, Hưng Yên","Xã Nam Tinn Hni, Hnng Yên",0727821315,50,50,81172199,81172199
<177639809690.27.12937162279754847113@daiduong.vn>,BH26_0955.eml,DOANH NGHIỆP TW ĐẠI DƯƠNG <dathang@daiduong.vn>,[ĐẶT HÀNG] BH26.0955,2026-03-01 08:37:32+07:00,BH26_0955.pdf,BH26.0955,BH26.0955,2026-03-01,2026-03-01,DOANH NGHIỆP TW ĐẠI DƯƠNG,DOANH NGHInP TW nnI DnnNG,272364761,272364761,"Lý Bôn, Phường Đề Thám, thành phố Thái Bình, tỉnh Thái Bình","Lý Bôn, Phnnng nn Thám, thành phn Thái Bình, tnnh Thái Bình",0998061650,81,81,133489977,133489977
<177639809695.27.6344863178936378387@thuytien.vn>,BH26_0956.eml,CỬA HÀNG XE ĐẠP THUỶ TIÊN <dathang@thuytien.vn>,[ĐẶT HÀNG] BH26.0956,2026-03-01 11:52:01+07:00,BH26_0956.pdf,BH26.0956,BH26.0956,2026-03-01,2026-03-01,CỬA HÀNG XE ĐẠP THUỶ TIÊN,CnA HÀNG XE nnP THUn TIÊN,273679758,273679758,"đường chiến thắng Sông Lô, tổ 2, Phường Minh Xuân, Tuyên Quang","nnnng chinn thnng Sông Lô, tn 2, Phnnng Minh Xuân, Tuyên Quang",0708462073,40,40,50374975,50374975
<177639809690.27.10353144037217341363@quangvinh.vn>,BH26_0957.eml,CỬA HÀNG XE ĐẠP QUANG VINH <dathang@quangvinh.vn>,Đặt hàng xe đạp Thống Nhất - BH26.0957,2026-03-01 13:46:16+07:00,BH26_0957.pdf,BH26.0957,BH26.0957,2026-03-01,2026-03-01,CỬA HÀNG XE ĐẠP QUANG VINH,CnA HÀNG XE nnP QUANG VINH,232799936,232799936,"Xã Hợp Lý, Phú Thọ","Xã Hnp Lý, Phú Thn",0840586473,84,84,152961998,152961998
<177639809689.27.4291835990902352011@thanhbinh.vn>,BH26_0958.eml,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH <dathang@thanhbinh.vn>,Đơn đặt hàng BH26.0958 ngày 01/03/2026,2026-03-01 17:46:15+07:00,BH26_0958.pdf,BH26.0958,BH26.0958,2026-03-01,2026-03-01,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,"CÔNG TY TNHH THnnNG MnI THANH
BÌNH",135037784,135037784,"Ngô Quyền, Phường An Hải, Thành phố Đà Nẵng","Ngô Quynn, Phnnng An Hni, Thành phn nà Nnng",0320230555,11,11,17660921,17660921
<177639809689.27.586287033698423193@quangvinh.vn>,BH26_0959.eml,CÔNG TY CỔ PHẦN QUANG VINH <dathang@quangvinh.vn>,Đơn đặt hàng BH26.0959 ngày 01/03/2026,2026-03-01 16:44:01+07:00,BH26_0959.pdf,BH26.0959,BH26.0959,2026-03-01,2026-03-01,CÔNG TY CỔ PHẦN QUANG VINH,CÔNG TY Cn PHnN QUANG VINH,161267125,161267125,"Trần Kế Xương, Phường Hải Châu, Thành phố Đà Nẵng","Trnn Kn Xnnng, Phnnng Hni Châu, Thành phn nà Nnng",0924046620,14,14,22992220,22992220
<177639809689.27.10060236952204337488@thanhbinh.vn>,BH26_0960.eml,CÔNG TY TNHH THANH BÌNH <dathang@thanhbinh.vn>,Đơn đặt hàng BH26.0960 ngày 01/03/2026,2026-03-01 15:57:17+07:00,BH26_0960.pdf,BH26.0960,BH26.0960,2026-03-01,2026-03-01,CÔNG TY TNHH THANH BÌNH,CÔNG TY TNHH THANH BÌNH,293390264,293390264,"phố Nguyễn Thái Học, Xã Đan Phượng, Thành phố Hà Nội","phn Nguynn Thái Hnc, Xã nan Phnnng, Thành phn Hà Nni",0762910711,68,68,120369229,120369229
<177639809688.27.1890702223848595625@sonha.vn>,BH26_0961.eml,DOANH NGHIỆP TW SƠN HÀ <dathang@sonha.vn>,Đơn đặt hàng BH26.0961 ngày 01/03/2026,2026-03-01 15:38:46+07:00,BH26_0961.pdf,BH26.0961,BH26.0961,2026-03-01,2026-03-01,DOANH NGHIỆP TW SƠN HÀ,DOANH NGHInP TW SnN HÀ,279652439,279652439,"Phao Sơn, Phường Chí Linh, Thành phố Hải Phòng","Phao Snn, Phnnng Chí Linh, Thành phn Hni Phòng",0332719500,17,17,28867213,28867213
<177639809688.27.4517457392071889495@minhphuong.vn>,BH26_0962.eml,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG <dathang@minhphuong.vn>,Đặt hàng xe đạp Thống Nhất - BH26.0962,2026-03-01 10:46:40+07:00,BH26_0962.pdf,BH26.0962,BH26.0962,2026-03-01,2026-03-01,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,"CÔNG TY TNHH THnnNG MnI MINH
PHnnNG",125873321,125873321,"Hùng Vương, Phường Nam Đông Hà, Quảng Trị","Hùng Vnnng, Phnnng Nam nông Hà, Qunng Trn",0351452493,31,31,35169800,35169800
<177639809709.27.12552662823614133900@vanloi.vn>,BH26_0963.eml,CÔNG TY CỔ PHẦN THƯƠNG MẠI VẠN LỢI <dathang@vanloi.vn>,Purchase Order BH26.0963,2026-03-02 07:47:59+07:00,BH26_0963.pdf,BH26.0963,BH26.0963,2026-03-02,2026-03-02,CÔNG TY CỔ PHẦN THƯƠNG MẠI VẠN LỢI,"CÔNG TY Cn PHnN THnnNG MnI VnN
LnI",158110427,158110427,"đường Điện Biên, tổ dân phố số 8 phường Minh Tân, thành phố Yên Bái, tỉnh Yên Bái, Việt Nam","nnnng ninn Biên, tn dân phn sn 8 phnnng Minh Tân, thành phn Yên Bái, tnnh Yên Bái, Vint Nam",0928530412,20,20,27983324,27983324
<177639809709.27.7097704095687072272@dailoi.vn>,BH26_0964.eml,CÔNG TY CỔ PHẦN ĐẠI LỢI <dathang@dailoi.vn>,[ĐẶT HÀNG] BH26.0964,2026-03-02 08:04:22+07:00,BH26_0964.pdf,BH26.0964,BH26.0964,2026-03-02,2026-03-02,CÔNG TY CỔ PHẦN ĐẠI LỢI,CÔNG TY Cn PHnN nnI LnI,100950622,100950622,"Ngô Gia Tự, Phường Việt Hưng, TP Hà Nội","Ngô Gia Tn, Phnnng Vint Hnng, TP Hà Nni",0915714384,13,13,17831660,17831660
<177639809710.27.8633996433839738777@dailoi.vn>,BH26_0965.eml,CÔNG TY CỔ PHẦN ĐẠI LỢI <dathang@dailoi.vn>,Đặt hàng xe đạp Thống Nhất - BH26.0965,2026-03-02 11:58:15+07:00,BH26_0965.pdf,BH26.0965,BH26.0965,2026-03-02,2026-03-02,CÔNG TY CỔ PHẦN ĐẠI LỢI,CÔNG TY Cn PHnN nnI LnI,100950622,100950622,"Ngô Gia Tự, Phường Việt Hưng, TP Hà Nội","Ngô Gia Tn, Phnnng Vint Hnng, TP Hà Nni",0732001585,30,30,57729430,57729430
<177639809713.27.5414121733845069545@sanlap.vn>,BH26_0966.eml,CỬA HÀNG XE ĐẠP SÁN LẠP <dathang@sanlap.vn>,Yêu cầu cung cấp hàng - BH26.0966,2026-03-02 16:16:35+07:00,BH26_0966.pdf,BH26.0966,BH26.0966,2026-03-02,2026-03-02,CỬA HÀNG XE ĐẠP SÁN LẠP,CnA HÀNG XE nnP SÁN LnP,237058486,237058486,"Xã Quang Lịch, Huyện Kiến Xương, Thái Bình","Xã Quang Lnch, Huynn Kinn Xnnng, Thái Bình",0786505613,21,21,33339436,33339436
<177639809711.27.12549013897651186576@anphat.vn>,BH26_0967.eml,CỬA HÀNG XE ĐẠP AN PHÁT <dathang@anphat.vn>,Yêu cầu cung cấp hàng - BH26.0967,2026-03-02 16:52:24+07:00,BH26_0967.pdf,BH26.0967,BH26.0967,2026-03-02,2026-03-02,CỬA HÀNG XE ĐẠP AN PHÁT,CnA HÀNG XE nnP AN PHÁT,204212624,204212624,"Xã Tiên Lãng, Thành phố Hải Phòng","Xã Tiên Lãng, Thành phn Hni Phòng",0845483675,15,15,23813885,23813885
<177639809711.27.16321466152587137559@ngocanh.vn>,BH26_0968.eml,DOANH NGHIỆP TW NGỌC ANH <dathang@ngocanh.vn>,[ĐẶT HÀNG] BH26.0968,2026-03-02 16:42:59+07:00,BH26_0968.pdf,BH26.0968,BH26.0968,2026-03-02,2026-03-02,DOANH NGHIỆP TW NGỌC ANH,DOANH NGHInP TW NGnC ANH,147661615,147661615,"Tô Hiệu, Phường Lê Chân, TP Hải Phòng","Tô Hinu, Phnnng Lê Chân, TP Hni Phòng",0367364804,31,31,47381097,47381097
<177639809713.27.14178144042647201736@xaydung.vn>,BH26_0969.eml,DOANH NGHIỆP TW XÂY DỰNG <dathang@xaydung.vn>,[ĐẶT HÀNG] BH26.0969,2026-03-02 10:33:05+07:00,BH26_0969.pdf,BH26.0969,BH26.0969,2026-03-02,2026-03-02,DOANH NGHIỆP TW XÂY DỰNG,DOANH NGHInP TW XÂY DnNG,255039901,255039901,"Phường Bạch Đằng, TP Hải Phòng","Phnnng Bnch nnng, TP Hni Phòng",0381764760,27,27,55472213,55472213
<177639809708.27.13941720072365397720@tuanh.vn>,BH26_0970.eml,CỬA HÀNG XE ĐẠP TÚ ANH <dathang@tuanh.vn>,Purchase Order BH26.0970,2026-03-02 15:47:06+07:00,BH26_0970.pdf,BH26.0970,BH26.0970,2026-03-02,2026-03-02,CỬA HÀNG XE ĐẠP TÚ ANH,CnA HÀNG XE nnP TÚ ANH,249644643,249644643,"Thôn Tiên Tảo, Xã Hà Nam, TP Hải Phòng","Thôn Tiên Tno, Xã Hà Nam, TP Hni Phòng",0986687000,40,40,65616098,65616098
<177639809713.27.59865493798337699@toanthang.vn>,BH26_0971.eml,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG <dathang@toanthang.vn>,Purchase Order BH26.0971,2026-03-02 07:45:53+07:00,BH26_0971.pdf,BH26.0971,BH26.0971,2026-03-02,2026-03-02,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,"CÔNG TY Cn PHnN THnnNG MnI TOÀN
THnNG",194183069,194183069,"Thôn La Văn Cầu, Xã Nam Sách, TP Hải Phòng","Thôn La Vnn Cnu, Xã Nam Sách, TP Hni Phòng",0929314896,26,26,55949155,55949155
<177639809714.27.13275765128541234669@dailoi.vn>,BH26_0972.eml,HỘ KINH DOANH ĐẠI LỢI <dathang@dailoi.vn>,Purchase Order BH26.0972,2026-03-02 15:49:27+07:00,BH26_0972.pdf,BH26.0972,BH26.0972,2026-03-02,2026-03-02,HỘ KINH DOANH ĐẠI LỢI,Hn KINH DOANH nnI LnI,177914308,177914308,"Đường Trần Hưng Đạo, Phường Kinh Môn, Thành phố Hải Phòng","nnnng Trnn Hnng nno, Phnnng Kinh Môn, Thành phn Hni Phòng",0881880541,96,96,162773288,162773288
<177639809714.27.14055721717480188255@truongthinh.vn>,BH26_0973.eml,CÔNG TY CỔ PHẦN TRƯỜNG THỊNH <dathang@truongthinh.vn>,Đặt hàng xe đạp Thống Nhất - BH26.0973,2026-03-02 15:18:58+07:00,BH26_0973.pdf,BH26.0973,BH26.0973,2026-03-02,2026-03-02,CÔNG TY CỔ PHẦN TRƯỜNG THỊNH,CÔNG TY Cn PHnN TRnnNG THnNH,298813347,298813347,"Tổ dân phố Hòa Sơn, Phường Chương Mỹ, TP Hà Nội","Tn dân phn Hòa Snn, Phnnng Chnnng Mn, TP Hà Nni",0761801464,15,15,24571661,24571661
<177639809715.27.1962933219357751919@khaihoan.vn>,BH26_0974.eml,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN <dathang@khaihoan.vn>,[ĐẶT HÀNG] BH26.0974,2026-03-02 13:53:33+07:00,BH26_0974.pdf,BH26.0974,BH26.0974,2026-03-02,2026-03-02,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,CÔNG TY TNHH THnnNG MnI KHnI HOÀN,191136065,191136065,"Phường Chương Mỹ, Thành phố Hà Nội","Phnnng Chnnng Mn, Thành phn Hà Nni",0888988957,15,15,20501658,20501658
<177639809715.27.15526059072672948392@xaydung.vn>,BH26_0975.eml,CỬA HÀNG XE ĐẠP XÂY DỰNG <dathang@xaydung.vn>,Đặt hàng xe đạp Thống Nhất - BH26.0975,2026-03-02 09:57:58+07:00,BH26_0975.pdf,BH26.0975,BH26.0975,2026-03-02,2026-03-02,CỬA HÀNG XE ĐẠP XÂY DỰNG,CnA HÀNG XE nnP XÂY DnNG,298726858,298726858,"Xã Hòa Phú, TP Hà Nội","Xã Hòa Phú, TP Hà Nni",0335065309,30,30,43154426,43154426
<177639809715.27.3669262207937771719@phuthinh.vn>,BH26_0976.eml,DOANH NGHIỆP TW PHÚ THỊNH <dathang@phuthinh.vn>,Purchase Order BH26.0976,2026-03-02 12:22:37+07:00,BH26_0976.pdf,BH26.0976,BH26.0976,2026-03-02,2026-03-02,DOANH NGHIỆP TW PHÚ THỊNH,DOANH NGHInP TW PHÚ THnNH,170794199,170794199,"Phố Vồi, Xã Thường Tín, Thành phố Hà Nội","Phn Vni, Xã Thnnng Tín, Thành phn Hà Nni",0759585348,33,33,39984977,39984977
<177639809716.27.2980053737230559329@yenbinh.vn>,BH26_0977.eml,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH <dathang@yenbinh.vn>,Đặt hàng xe đạp Thống Nhất - BH26.0977,2026-03-02 17:55:14+07:00,BH26_0977.pdf,BH26.0977,BH26.0977,2026-03-02,2026-03-02,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,CÔNG TY TNHH THnnNG MnI YÊN BÌNH,198501882,198501882,"Tiểu khu 3 - Thị trấn Hà trung, Xã Hà Trung, Tỉnh Thanh Hóa","Tinu khu 3 - Thn trnn Hà trung, Xã Hà Trung, Tnnh Thanh Hóa",0301207915,19,19,32844993,32844993
<177639809709.27.2819424749284882229@xuanmai.vn>,BH26_0978.eml,DOANH NGHIỆP TW XUÂN MAI <dathang@xuanmai.vn>,Yêu cầu cung cấp hàng - BH26.0978,2026-03-02 15:49:13+07:00,BH26_0978.pdf,BH26.0978,BH26.0978,2026-03-02,2026-03-02,DOANH NGHIỆP TW XUÂN MAI,DOANH NGHInP TW XUÂN MAI,267491139,267491139,"Đường Quốc lộ 45, Khu phố 2, Xã Thiệu Hóa, Tỉnh Thanh Hóa","nnnng Qunc ln 45, Khu phn 2, Xã Thinu Hóa, Tnnh Thanh Hóa",0324574723,21,21,39536106,39536106
<177639809710.27.10205216524262217657@binhminh.vn>,BH26_0979.eml,CÔNG TY CỔ PHẦN THƯƠNG MẠI BÌNH MINH <dathang@binhminh.vn>,Purchase Order BH26.0979,2026-03-02 10:41:32+07:00,BH26_0979.pdf,BH26.0979,BH26.0979,2026-03-02,2026-03-02,CÔNG TY CỔ PHẦN THƯƠNG MẠI BÌNH MINH,"CÔNG TY Cn PHnN THnnNG MnI BÌNH
MINH",102927878,102927878,"Thôn 4B, Xã Thọ Phú, Huyện Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam","Thôn 4B, Xã Thn Phú, Huynn Trinu Snn, Tnnh Thanh Hoá, Vint Nam",0387845394,29,29,46916106,46916106
