customer_code,customer_name,recency_days,frequency,monetary,R_score,F_score,M_score,purchase_priority_score,priority_tier,churn_risk,dealer_segment,recommended_action,risk_reason,priority_reason
KH-00501,CÔNG TY CỔ PHẦN VĨNH PHÁT,0,7,221528283.0,5,5,5,0.8918091168091169,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.89"
KH-00079,CÔNG TY TNHH ĐÔNG NAM,6,8,259679353.0,5,5,5,0.8903663048878349,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.89"
KH-00338,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,5,19,958524821.0,5,5,5,0.8895734470165583,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.89"
KH-00363,HỘ KINH DOANH ĐẠI LỢI,2,7,447715539.0,5,5,5,0.8886097809434025,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.89"
KH-00387,CÔNG TY CỔ PHẦN THANH BÌNH,0,5,439316819.0,5,5,5,0.8879985754985756,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.89"
KH-00562,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,1,9,193513755.0,5,5,5,0.8870655212085882,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.89"
KH-00489,CÔNG TY CỔ PHẦN ĐÔNG NAM,0,6,258502162.0,5,5,5,0.8868589743589744,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.89"
KH-00168,DOANH NGHIỆP TW ĐẠI LỢI,6,7,260528547.0,5,5,5,0.8840628860844162,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.88"
KH-00134,DOANH NGHIỆP TW PHÚ THỊNH,11,12,984310817.0,4,5,5,0.8821653566313941,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=4, F=5, M=5, score=0.88"
KH-00492,HỘ KINH DOANH ĐÔNG NAM,0,6,207796438.0,5,5,5,0.8803062678062679,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.88"
KH-00665,CÔNG TY CỔ PHẦN TÂY BẮC,0,7,169607468.0,5,5,4,0.8795584045584046,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.88"
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,7,12,503776086.0,4,5,5,0.8785214992363202,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=4, F=5, M=5, score=0.88"
KH-00414,HỘ KINH DOANH ĐẠI LỢI,4,10,328657864.0,5,5,5,0.8757194935738636,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.88"
KH-00426,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,4,8,485650652.0,5,5,5,0.875220918075288,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.88"
KH-00385,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,6,13,779228165.0,5,5,5,0.8750173020388321,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.88"
KH-00659,CỬA HÀNG XE ĐẠP QUANG VINH,4,7,655182812.0,5,5,5,0.8731910035453736,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.87"
KH-00509,CÔNG TY TNHH THƯƠNG MẠI BÌNH MINH,0,6,181969858.0,5,5,4,0.8731837606837607,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.87"
KH-00408,CÔNG TY CỔ PHẦN MINH PHƯƠNG,4,8,398277526.0,5,5,5,0.8729417157960858,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.87"
KH-00563,HỘ KINH DOANH YÊN BÌNH,4,9,321143241.0,5,5,5,0.8713747642291342,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.87"
KH-00145,HỘ KINH DOANH PHÚ THỊNH,1,4,150743321.0,5,4,4,0.8695441536872205,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=4, score=0.87"
KH-00494,HỘ KINH DOANH AN PHÁT,1,5,284278633.0,5,5,5,0.8668376009806679,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.87"
KH-00630,CÔNG TY TNHH THƯƠNG MẠI ĐẠI DƯƠNG,0,7,135014599.0,5,5,4,0.865883190883191,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.87"
KH-00458,HỘ KINH DOANH VẠN LỢI,2,6,263482054.0,5,5,5,0.865710920544542,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.87"
KH-00356,CÔNG TY TNHH THƯƠNG MẠI QUANG VINH,0,4,365927793.0,5,4,5,0.8649216524216525,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=5, score=0.86"
KH-00372,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,6,8,879429808.0,5,5,5,0.8637281282496583,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.86"
KH-00369,CÔNG TY TNHH VẠN LỢI,0,6,146495417.0,5,5,4,0.8623575498575499,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.86"
KH-00607,CÔNG TY TNHH TÚ ANH,0,5,188444415.0,5,5,5,0.8620726495726496,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.86"
KH-00605,CÔNG TY CỔ PHẦN VĨNH PHÁT,7,21,483551668.0,4,5,5,0.8620616331181585,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=4, F=5, M=5, score=0.86"
KH-00405,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,0,4,293579367.0,5,4,5,0.8592236467236468,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=5, score=0.86"
KH-00284,HỘ KINH DOANH NGỌC ANH,0,5,95944982.0,5,4,4,0.8580044818662214,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=4, score=0.86"
KH-00475,CỬA HÀNG XE ĐẠP THIÊN AN,1,6,164615977.0,5,5,4,0.8568660910091579,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.86"
KH-00339,CỬA HÀNG XE ĐẠP ĐẠI LỢI,2,8,142785806.0,5,5,4,0.8550271598607814,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.86"
KH-00587,DOANH NGHIỆP TW AN PHÁT,0,5,158963114.0,5,5,4,0.8540954415954417,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.85"
KH-00564,CỬA HÀNG XE ĐẠP SÁN LẠP,6,8,386851008.0,4,5,5,0.852332116853647,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=4, F=5, M=5, score=0.85"
KH-00674,CỬA HÀNG XE ĐẠP TÚ ANH,3,9,151303587.0,5,5,4,0.8521275692470588,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.85"
KH-00344,CÔNG TY TNHH PHÚC AN,0,4,229219953.0,5,4,5,0.8518162393162394,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=5, score=0.85"
KH-00383,HỘ KINH DOANH VẠN LỢI,6,8,325347710.0,5,5,5,0.8469190114405415,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.85"
KH-00153,CÔNG TY CỔ PHẦN THƯƠNG MẠI PHÚ THỊNH,4,4,181845524.0,5,4,4,0.8464459893003593,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=4, score=0.85"
KH-00441,CỬA HÀNG XE ĐẠP NGỌC ANH,1,5,166750707.0,5,5,4,0.8443304784735454,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.84"
KH-00403,CÔNG TY CỔ PHẦN THƯƠNG MẠI LONG PHÚ,0,4,192613940.0,5,4,5,0.8435541310541311,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=5, score=0.84"
KH-00380,DOANH NGHIỆP TW HÙNG CƯỜNG,6,8,278525195.0,5,5,5,0.8432153077368378,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.84"
KH-00348,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,0,5,129348867.0,5,4,4,0.8409900284900286,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=4, score=0.84"
KH-00444,CÔNG TY TNHH THƯƠNG MẠI SÁN LẠP,4,6,204116061.0,5,5,5,0.8357622286165987,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.84"
KH-00397,CÔNG TY CỔ PHẦN THUỶ TIÊN,6,8,222227423.0,5,5,5,0.8355230000445301,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.84"
KH-00656,CỬA HÀNG XE ĐẠP VĨNH PHÁT,6,7,262652798.0,4,5,5,0.8343477863693165,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=4, F=5, M=5, score=0.83"
KH-00204,CÔNG TY CỔ PHẦN ĐẠI DƯƠNG,0,3,115953313.0,5,3,4,0.8335113960113959,A - Top,LOW,Đang hoạt động / trung thành,"Duy trì nhịp đặt hàng, gợi ý bán thêm",Đang hoạt động hoặc rủi ro thấp,"R=5, F=3, M=4, score=0.83"
KH-00690,CỬA HÀNG XE ĐẠP NAM TIẾN,1,4,190371252.0,5,4,5,0.8315099656530325,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=5, score=0.83"
KH-00521,CỬA HÀNG XE ĐẠP KHẢI HOÀN,4,6,178848099.0,5,5,4,0.8283548212091912,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.83"
KH-00382,CÔNG TY TNHH LÊ ANH,4,6,175731626.0,5,5,4,0.82721522006959,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.83"
KH-00485,CÔNG TY CỔ PHẦN SÁN LẠP,4,6,175703850.0,5,5,4,0.8269303197846898,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.83"
KH-00469,CỬA HÀNG XE ĐẠP HOÀ BÌNH,0,4,140110157.0,5,4,4,0.8258903133903135,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=4, M=4, score=0.83"
KH-00435,DOANH NGHIỆP TW NGỌC ANH,4,7,140585893.0,5,5,4,0.8250428553972254,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=4, score=0.83"
KH-00506,CÔNG TY TNHH THANH BÌNH,7,6,347995290.0,4,5,5,0.8228522314087567,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=4, F=5, M=5, score=0.82"
